time_s,temp_c,setpoint_c,pwm,error_c
2.3050,44.8000,70.00,25,25.2000
2.4133,47.6000,70.00,24,22.4000
2.7340,57.3000,70.00,17,12.7000
2.8900,60.7000,70.00,15,9.3000
3.0540,59.1000,70.00,18,10.9000
3.2221,56.8000,70.00,22,13.2000
3.3841,56.6000,70.00,24,13.4000
3.5524,58.8000,70.00,23,11.2000
3.7023,62.7000,70.00,20,7.3000
3.8556,64.1000,70.00,19,5.9000
4.0042,64.9000,70.00,19,5.1000
4.1532,65.3000,70.00,19,4.7000
4.3032,63.5000,70.00,22,6.5000
4.4529,64.1000,70.00,22,5.9000
4.6003,64.1000,70.00,23,5.9000
4.7491,65.5000,70.00,22,4.5000
4.9027,67.2000,70.00,20,2.8000
5.0505,68.0000,70.00,20,2.0000
5.2047,66.5000,70.00,22,3.5000
5.3696,65.8000,70.00,23,4.2000
5.5350,67.4000,70.00,22,2.6000
5.7028,67.9000,70.00,22,2.1000
5.8700,67.3000,70.00,23,2.7000
6.0150,67.2000,70.00,23,2.8000
6.1680,68.5000,70.00,22,1.5000
6.3223,68.6000,70.00,22,1.4000
6.4830,68.8000,70.00,22,1.2000
6.6321,68.4000,70.00,22,1.6000
6.7836,68.6000,70.00,22,1.4000
6.9349,67.7000,70.00,24,2.3000
7.0846,68.0000,70.00,23,2.0000
7.2351,68.8000,70.00,23,1.2000
7.3875,69.6000,70.00,22,0.4000
7.5348,71.1000,70.00,20,-1.1000
7.6827,70.7000,70.00,21,-0.7000
7.8343,70.8000,70.00,21,-0.8000
8.0002,69.0000,70.00,23,1.0000
8.1528,6.8000,70.00,92,63.2000
8.3175,75.8000,70.00,22,-5.8000
8.4753,98.0000,70.00,0,-28.0000
8.6420,98.0000,70.00,0,-28.0000
8.8066,98.0000,70.00,0,-28.0000
8.9539,83.9000,70.00,2,-13.9000
9.1014,83.9000,70.00,1,-13.9000
9.2757,59.8000,70.00,26,10.2000
9.4323,52.8000,70.00,35,17.2000
9.5858,58.3000,70.00,31,11.7000
9.7385,67.2000,70.00,22,2.8000
9.9084,73.2000,70.00,16,-3.2000
10.0705,72.2000,70.00,17,-2.2000
10.2409,68.4000,70.00,21,1.6000
10.4040,65.3000,70.00,24,4.7000
10.5594,66.3000,70.00,24,3.7000
10.7127,68.0000,70.00,22,2.0000
10.8708,70.7000,70.00,20,-0.7000
11.0248,71.2000,70.00,19,-1.2000
11.1665,70.2000,70.00,20,-0.2000
11.3234,68.4000,70.00,22,1.6000
11.4773,67.4000,70.00,23,2.6000
