time_s,temp_c,setpoint_c,pwm,error_c,phase
0.3414,0.0000,200.00,255,200.0000,preheat
0.4650,0.0000,200.00,255,200.0000,preheat
0.5610,0.0000,200.00,255,200.0000,preheat
0.6725,0.0000,200.00,255,200.0000,preheat
0.8538,0.0000,200.00,255,200.0000,preheat
0.9809,0.0000,200.00,255,200.0000,preheat
1.0998,0.0000,200.00,255,200.0000,preheat
1.2245,0.0000,200.00,255,200.0000,preheat
1.3541,0.0000,200.00,255,200.0000,preheat
1.4644,0.0000,200.00,255,200.0000,preheat
1.5511,151.7647,200.00,255,48.2353,preheat
1.6401,151.7647,200.00,255,48.2353,preheat
1.7364,163.5294,200.00,255,36.4706,preheat
1.8164,163.5294,200.00,255,36.4706,preheat
1.9010,180.0000,200.00,255,20.0000,preheat
0.0321,211.7647,200.00,0,-11.7647,pid
0.1745,224.7059,200.00,0,-24.7059,pid
0.9302,224.7059,200.00,0,-24.7059,pid
1.2499,224.7059,200.00,0,-24.7059,pid
1.5576,224.7059,200.00,0,-24.7059,pid
1.8659,224.7059,200.00,0,-24.7059,pid
2.1747,224.7059,200.00,0,-24.7059,pid
2.5146,224.7059,200.00,0,-24.7059,pid
2.8798,224.7059,200.00,0,-24.7059,pid
3.2084,224.7059,200.00,0,-24.7059,pid
3.5562,224.7059,200.00,0,-24.7059,pid
3.8534,224.7059,200.00,0,-24.7059,pid
4.1142,224.7059,200.00,0,-24.7059,pid
5.0791,224.7059,200.00,0,-24.7059,pid
5.3636,224.7059,200.00,0,-24.7059,pid
5.6304,224.7059,200.00,0,-24.7059,pid
5.9094,224.7059,200.00,0,-24.7059,pid
6.1607,224.7059,200.00,0,-24.7059,pid
6.4157,224.7059,200.00,0,-24.7059,pid
6.6778,224.7059,200.00,0,-24.7059,pid
6.9560,224.7059,200.00,0,-24.7059,pid
7.2317,224.7059,200.00,0,-24.7059,pid
7.5298,224.7059,200.00,0,-24.7059,pid
7.7922,224.7059,200.00,0,-24.7059,pid
8.0897,224.7059,200.00,0,-24.7059,pid
8.3376,224.7059,200.00,0,-24.7059,pid
8.6072,224.7059,200.00,0,-24.7059,pid
8.8600,224.7059,200.00,0,-24.7059,pid
9.1123,224.7059,200.00,0,-24.7059,pid
9.3715,224.7059,200.00,0,-24.7059,pid
9.6127,224.7059,200.00,0,-24.7059,pid
9.8485,224.7059,200.00,0,-24.7059,pid
10.1410,224.7059,200.00,0,-24.7059,pid
10.4366,224.7059,200.00,0,-24.7059,pid
10.7567,224.7059,200.00,0,-24.7059,pid
11.0928,224.7059,200.00,0,-24.7059,pid
11.3917,224.7059,200.00,0,-24.7059,pid
11.6885,224.7059,200.00,0,-24.7059,pid
11.9757,224.7059,200.00,0,-24.7059,pid
12.2770,224.7059,200.00,0,-24.7059,pid
12.5227,224.7059,200.00,0,-24.7059,pid
12.8023,224.7059,200.00,0,-24.7059,pid
13.0702,224.7059,200.00,0,-24.7059,pid
13.3583,224.7059,200.00,0,-24.7059,pid
13.6534,224.7059,200.00,0,-24.7059,pid
13.9491,224.7059,200.00,0,-24.7059,pid
14.2493,224.7059,200.00,0,-24.7059,pid
14.5351,224.7059,200.00,0,-24.7059,pid
14.8274,224.7059,200.00,0,-24.7059,pid
15.0835,224.7059,200.00,0,-24.7059,pid
15.3553,224.7059,200.00,0,-24.7059,pid
15.6176,224.7059,200.00,0,-24.7059,pid
15.8818,224.7059,200.00,0,-24.7059,pid
16.1693,224.7059,200.00,0,-24.7059,pid
16.4377,224.7059,200.00,0,-24.7059,pid
16.7056,224.7059,200.00,0,-24.7059,pid
16.9725,224.7059,200.00,0,-24.7059,pid
17.2599,224.7059,200.00,0,-24.7059,pid
17.5469,224.7059,200.00,0,-24.7059,pid
17.8130,224.7059,200.00,0,-24.7059,pid
18.0618,224.7059,200.00,0,-24.7059,pid
18.3091,224.7059,200.00,0,-24.7059,pid
18.5644,224.7059,200.00,0,-24.7059,pid
18.8609,224.7059,200.00,0,-24.7059,pid
19.1629,224.7059,200.00,0,-24.7059,pid
