time_s,temp_c,setpoint_c,pwm,error_c
1.1318,0.0000,200.00,255,200.0000
1.1346,0.0000,200.00,255,200.0000
1.1379,0.0000,200.00,255,200.0000
1.1408,0.0000,200.00,255,200.0000
1.1439,0.0000,200.00,255,200.0000
1.1468,0.0000,200.00,255,200.0000
1.1500,0.0000,200.00,255,200.0000
1.1530,0.0000,200.00,255,200.0000
1.1561,0.0000,200.00,255,200.0000
1.1590,0.0000,200.00,255,200.0000
1.1621,0.0000,200.00,255,200.0000
1.1650,0.0000,200.00,255,200.0000
1.1685,0.0000,200.00,255,200.0000
1.1716,0.0000,200.00,255,200.0000
1.1744,0.0000,200.00,255,200.0000
1.1771,0.0000,200.00,255,200.0000
1.1800,0.0000,200.00,255,200.0000
1.1827,0.0000,200.00,255,200.0000
1.1856,0.0000,200.00,255,200.0000
1.1886,0.0000,200.00,255,200.0000
1.1916,0.0000,200.00,255,200.0000
1.1944,0.0000,200.00,255,200.0000
1.1972,0.0000,200.00,255,200.0000
1.2001,0.0000,200.00,255,200.0000
1.2032,0.0000,200.00,255,200.0000
1.2059,0.0000,200.00,255,200.0000
1.2091,0.0000,200.00,255,200.0000
1.2118,0.0000,200.00,255,200.0000
1.2145,0.0000,200.00,255,200.0000
1.2174,0.0000,200.00,255,200.0000
1.2215,0.0000,200.00,255,200.0000
1.2244,0.0000,200.00,255,200.0000
1.2273,0.0000,200.00,255,200.0000
1.2301,0.0000,200.00,255,200.0000
1.2330,0.0000,200.00,255,200.0000
1.2361,0.0000,200.00,255,200.0000
1.2390,0.0000,200.00,255,200.0000
1.2417,0.0000,200.00,255,200.0000
1.2446,0.0000,200.00,255,200.0000
1.2476,0.0000,200.00,255,200.0000
1.2505,0.0000,200.00,255,200.0000
1.2534,0.0000,200.00,255,200.0000
1.2561,0.0000,200.00,255,200.0000
1.2588,0.0000,200.00,255,200.0000
1.2616,0.0000,200.00,255,200.0000
1.2644,0.0000,200.00,255,200.0000
1.2673,0.0000,200.00,255,200.0000
1.2703,0.0000,200.00,255,200.0000
1.2739,0.0000,200.00,255,200.0000
1.2768,0.0000,200.00,255,200.0000
1.2800,0.0000,200.00,255,200.0000
1.2830,0.0000,200.00,255,200.0000
1.2858,0.0000,200.00,255,200.0000
1.2887,0.0000,200.00,255,200.0000
1.2915,0.0000,200.00,255,200.0000
1.2944,0.0000,200.00,255,200.0000
1.2971,0.0000,200.00,255,200.0000
1.3000,0.0000,200.00,255,200.0000
1.3027,0.0000,200.00,255,200.0000
1.3055,0.0000,200.00,255,200.0000
1.3083,0.0000,200.00,255,200.0000
1.3113,0.0000,200.00,255,200.0000
1.3140,0.0000,200.00,255,200.0000
1.3169,0.0000,200.00,255,200.0000
1.3201,0.0000,200.00,255,200.0000
1.3231,0.0000,200.00,255,200.0000
1.3261,0.0000,200.00,255,200.0000
1.3289,0.0000,200.00,255,200.0000
1.3317,0.0000,200.00,255,200.0000
1.3345,0.0000,200.00,255,200.0000
1.3376,0.0000,200.00,255,200.0000
1.3405,0.0000,200.00,255,200.0000
1.3434,0.0000,200.00,255,200.0000
1.3460,0.0000,200.00,255,200.0000
1.3489,0.0000,200.00,255,200.0000
1.3522,0.0000,200.00,255,200.0000
1.3549,0.0000,200.00,255,200.0000
1.3575,0.0000,200.00,255,200.0000
1.3603,0.0000,200.00,255,200.0000
1.3629,0.0000,200.00,255,200.0000
1.3655,0.0000,200.00,255,200.0000
1.3684,0.0000,200.00,255,200.0000
1.3729,0.0000,200.00,255,200.0000
1.3758,0.0000,200.00,255,200.0000
1.3787,0.0000,200.00,255,200.0000
1.3813,0.0000,200.00,255,200.0000
1.3841,0.0000,200.00,255,200.0000
1.3872,0.0000,200.00,255,200.0000
1.3903,0.0000,200.00,255,200.0000
1.3932,0.0000,200.00,255,200.0000
1.3960,0.0000,200.00,255,200.0000
1.3989,0.0000,200.00,255,200.0000
1.4021,0.0000,200.00,255,200.0000
1.4056,0.0000,200.00,255,200.0000
