time_s,temp_c,setpoint_c,pwm,error_c
1.5684,0.0000,280.00,255,280.0000
1.7408,0.0000,280.00,255,280.0000
1.9223,0.0000,280.00,255,280.0000
2.1068,0.0000,280.00,255,280.0000
2.3020,153.7255,280.00,255,126.2745
2.4752,192.1569,280.00,255,87.8431
2.6513,236.0784,280.00,255,43.9216
2.8272,280.0000,280.00,255,0.0000
2.9859,301.9608,280.00,0,-21.9608
3.1563,292.3529,280.00,0,-12.3529
3.3356,223.7255,280.00,48,56.2745
3.5118,196.2745,280.00,80,83.7255
3.6848,183.9216,280.00,102,96.0784
3.8495,186.6667,280.00,113,93.3333
4.0241,203.1373,280.00,110,76.8627
4.1986,214.1176,280.00,111,65.8824
4.3638,226.4706,280.00,109,53.5294
4.5400,236.0784,280.00,107,43.9216
4.7149,247.0588,280.00,104,32.9412
4.8782,249.8039,280.00,106,30.1961
5.0531,253.9216,280.00,106,26.0784
5.2172,263.5294,280.00,101,16.4706
5.3841,264.9020,280.00,102,15.0980
5.5499,263.5294,280.00,105,16.4706
5.7115,263.5294,280.00,107,16.4706
5.8778,263.5294,280.00,109,16.4706
6.0440,253.9216,280.00,120,26.0784
6.2164,253.9216,280.00,123,26.0784
6.3842,274.5098,280.00,109,5.4902
6.5544,275.8824,280.00,108,4.1176
6.7142,277.2549,280.00,107,2.7451
6.8830,274.5098,280.00,110,5.4902
7.0495,275.8824,280.00,110,4.1176
7.2159,277.2549,280.00,109,2.7451
7.3875,277.2549,280.00,109,2.7451
7.5558,278.6275,280.00,109,1.3725
7.7314,278.6275,280.00,109,1.3725
7.8986,280.0000,280.00,108,0.0000
8.0657,281.3725,280.00,107,-1.3725
8.2291,280.0000,280.00,108,0.0000
8.3983,280.0000,280.00,108,0.0000
8.5662,280.0000,280.00,108,0.0000
8.7274,277.2549,280.00,110,2.7451
8.8993,277.2549,280.00,110,2.7451
9.0631,277.2549,280.00,111,2.7451
9.2369,275.8824,280.00,112,4.1176
9.3982,275.8824,280.00,113,4.1176
9.5704,278.6275,280.00,111,1.3725
9.7359,278.6275,280.00,111,1.3725
9.8991,280.0000,280.00,110,0.0000
10.0618,281.3725,280.00,109,-1.3725
10.2294,281.3725,280.00,109,-1.3725
10.4035,282.7451,280.00,107,-2.7451
10.5695,281.3725,280.00,108,-1.3725
10.7285,281.3725,280.00,108,-1.3725
10.8951,278.6275,280.00,110,1.3725
11.0682,278.6275,280.00,110,1.3725
11.2402,278.6275,280.00,111,1.3725
11.4146,275.8824,280.00,113,4.1176
11.5868,277.2549,280.00,113,2.7451
11.7501,275.8824,280.00,114,4.1176
11.9090,273.1373,280.00,117,6.8627
12.0797,274.5098,280.00,117,5.4902
12.2437,277.2549,280.00,115,2.7451
12.4193,274.5098,280.00,118,5.4902
12.5841,274.5098,280.00,119,5.4902
12.7753,281.3725,280.00,113,-1.3725
12.9578,284.1176,280.00,111,-4.1176
13.1402,281.3725,280.00,112,-1.3725
13.3173,281.3725,280.00,112,-1.3725
13.4903,282.7451,280.00,111,-2.7451
13.6751,282.7451,280.00,110,-2.7451
13.8565,282.7451,280.00,110,-2.7451
14.0388,282.7451,280.00,110,-2.7451
14.2257,281.3725,280.00,110,-1.3725
14.5664,282.7451,280.00,109,-2.7451
