time_s,temp_c,setpoint_c,pwm,error_c
1.5986,0.0000,300.00,66,300.0000
1.7441,0.0000,300.00,90,300.0000
1.8959,0.0000,300.00,104,300.0000
2.0762,0.0000,300.00,118,300.0000
2.2431,0.0000,300.00,134,300.0000
2.4124,192.1569,300.00,97,107.8431
2.5601,237.4510,300.00,90,62.5490
2.7150,253.9216,300.00,89,46.0784
2.8649,264.9020,300.00,88,35.0980
3.0136,271.7647,300.00,88,28.2353
3.1593,278.6275,300.00,87,21.3725
3.3048,278.6275,300.00,88,21.3725
3.4476,278.6275,300.00,89,21.3725
3.5942,275.8824,300.00,91,24.1176
3.7453,278.6275,300.00,91,21.3725
3.8845,281.3725,300.00,91,18.6275
4.0256,282.7451,300.00,92,17.2549
4.1836,284.1176,300.00,92,15.8824
4.3316,282.7451,300.00,0,17.2549
4.4757,269.0196,300.00,0,30.9804
4.6245,199.0196,300.00,0,100.9804
4.7921,166.0784,300.00,0,133.9216
4.9661,0.0000,300.00,0,300.0000
5.1131,0.0000,300.00,0,300.0000
5.2610,0.0000,300.00,0,300.0000
5.4217,0.0000,300.00,0,300.0000
5.5791,0.0000,300.00,0,300.0000
5.7225,0.0000,300.00,0,300.0000
5.8562,0.0000,300.00,0,300.0000
6.0034,0.0000,300.00,0,300.0000
6.1577,0.0000,300.00,0,300.0000
6.3036,0.0000,300.00,0,300.0000
